source_xlsx,source_tab,input_col_num,csv_field_name,output_csv_filename,field_type,pbi,pbi_visual_target,pct,req_transform,transform_type,notes
EH.xlsx,Retail,1,year,eh_retail.csv,year,eh,stacked bar graph,FALSE,FALSE,,5yr filter
EH.xlsx,Retail,2,inspection_status,eh_retail.csv,character,eh,stacked bar graph,FALSE,FALSE,,Pass / Re-Inspection Required / Closed
EH.xlsx,Retail,3,inspection_pct,eh_retail.csv,float,eh,stacked bar graph,TRUE,FALSE,,
EH.xlsx,Retail,4,inspection_count,eh_retail.csv,integer,eh,stacked bar graph,FALSE,FALSE,,
EH.xlsx,Retail,5,total_inspections,eh_retail.csv,integer,eh,stacked bar graph,FALSE,FALSE,,Same value repeated per status row
EH.xlsx,Retail,6,routine_inspections,eh_retail.csv,integer,eh,stacked bar graph,FALSE,FALSE,,Same value repeated per status row
EH.xlsx,Complaints,1,year,eh_complaints.csv,year,eh,stacked bar graph,FALSE,FALSE,,5yr filter
EH.xlsx,Complaints,2,complaints_water_quality,eh_complaints.csv,integer,eh,stacked bar graph,FALSE,FALSE,,
EH.xlsx,Complaints,3,complaints_retail_food,eh_complaints.csv,integer,eh,stacked bar graph,FALSE,FALSE,,
EH.xlsx,Complaints,4,complaints_other,eh_complaints.csv,integer,eh,stacked bar graph,FALSE,FALSE,,
EH.xlsx,Radon,1,year,eh_radon.csv,year,eh,stacked bar graph,FALSE,TRUE,single_year,Single year only
EH.xlsx,Radon,2,radon_metric,eh_radon.csv,character,eh,table,FALSE,TRUE,single_year,Median / Max / Pct above 4.0 / Total tests
EH.xlsx,Radon,3,radon_value,eh_radon.csv,numeric,eh,table,FALSE,TRUE,single_year,"Staff-entered, R passthrough"
EH.xlsx,Wastewater,1,year,eh_wastewater.csv,year,eh,stacked bar graph,FALSE,FALSE,,
EH.xlsx,Wastewater,2,wastewater_result,eh_wastewater.csv,character,eh,stacked bar graph,FALSE,FALSE,,
EH.xlsx,Wastewater,3,wastewater_pct,eh_wastewater.csv,float,eh,stacked bar graph,TRUE,FALSE,,
DEATH.xlsx,Death,1,year,death_top_causes.csv,year,death,TBD,FALSE,FALSE,,5yr filter
DEATH.xlsx,Death,2,cause_rank,death_top_causes.csv,integer,death,TBD,FALSE,FALSE,,
DEATH.xlsx,Death,3,cause_of_death,death_top_causes.csv,character,death,TBD,FALSE,FALSE,,"State-supplied labels, keep as-is"
