"Date","Percent of staffed inpatient beds occupied by COVID-19 SASMC patients (7-day average)","Level Green: Low","Level Yellow: Medium","Level Orange: High","max","min","date_uploaded"
2022-06-01,0.42,"10",15,20,30,0,2022-06-29
2022-06-02,0.42,"10",15,20,30,0,2022-06-29
2022-06-03,0.84,"10",15,20,30,0,2022-06-29
2022-06-04,0.84,"10",15,20,30,0,2022-06-29
2022-06-05,0.84,"10",15,20,30,0,2022-06-29
2022-06-06,0.84,"10",15,20,30,0,2022-06-29
2022-06-07,0.84,"10",15,20,30,0,2022-06-29
2022-06-08,0.84,"10",15,20,30,0,2022-06-29
2022-06-09,0.42,"10",15,20,30,0,2022-06-29
2022-06-10,0,"10",15,20,30,0,2022-06-29
2022-06-11,0,"10",15,20,30,0,2022-06-29
2022-06-12,0,"10",15,20,30,0,2022-06-29
2022-06-13,0,"10",15,20,30,0,2022-06-29
2022-06-14,0,"10",15,20,30,0,2022-06-29
2022-06-15,0,"10",15,20,30,0,2022-06-29
2022-06-16,0,"10",15,20,30,0,2022-06-29
2022-06-17,0,"10",15,20,30,0,2022-06-29
2022-06-18,0,"10",15,20,30,0,2022-06-29
2022-06-19,0,"10",15,20,30,0,2022-06-29
2022-06-20,0,"10",15,20,30,0,2022-06-29
2022-06-21,0,"10",15,20,30,0,2022-06-29
2022-06-22,0,"10",15,20,30,0,2022-06-29
2022-06-23,0,"10",15,20,30,0,2022-06-29
2022-06-24,0,"10",15,20,30,0,2022-06-29
2022-06-25,0,"10",15,20,30,0,2022-06-29
2022-06-27,0,"10",15,20,30,0,2022-06-29
2022-06-28,0,"10",15,20,30,0,2022-06-29
2022-06-29,0,"10",15,20,30,0,2022-06-29
