"Date","Rolling 7-Day Positive Cases per 100,000","min","Goal: fewer than 200 new cases per 100,000 people","max","date_uploaded"
2020-03-12,0,0,200,4000,2022-06-28
2020-03-13,3.22445426111631,0,200,4000,2022-06-28
2020-03-14,3.22445426111631,0,200,4000,2022-06-28
2020-03-15,3.22445426111631,0,200,4000,2022-06-28
2020-03-16,9.67336278334892,0,200,4000,2022-06-28
2020-03-17,9.67336278334892,0,200,4000,2022-06-28
2020-03-18,12.8978170444652,0,200,4000,2022-06-28
2020-03-19,16.1222713055815,0,200,4000,2022-06-28
2020-03-20,12.8978170444652,0,200,4000,2022-06-28
2020-03-21,12.8978170444652,0,200,4000,2022-06-28
2020-03-22,16.1222713055815,0,200,4000,2022-06-28
2020-03-23,12.8978170444652,0,200,4000,2022-06-28
2020-03-24,16.1222713055815,0,200,4000,2022-06-28
2020-03-25,12.8978170444652,0,200,4000,2022-06-28
2020-03-26,16.1222713055815,0,200,4000,2022-06-28
2020-03-27,19.3467255666978,0,200,4000,2022-06-28
2020-03-28,19.3467255666978,0,200,4000,2022-06-28
2020-03-29,19.3467255666978,0,200,4000,2022-06-28
2020-03-30,29.0200883500468,0,200,4000,2022-06-28
2020-03-31,35.4689968722794,0,200,4000,2022-06-28
2020-04-01,45.1423596556283,0,200,4000,2022-06-28
2020-04-02,67.7135394834424,0,200,4000,2022-06-28
2020-04-03,90.2847193112566,0,200,4000,2022-06-28
2020-04-04,96.7336278334892,0,200,4000,2022-06-28
2020-04-05,103.182536355722,0,200,4000,2022-06-28
2020-04-06,116.080353400187,0,200,4000,2022-06-28
2020-04-07,112.855899139071,0,200,4000,2022-06-28
2020-04-08,119.304807661303,0,200,4000,2022-06-28
2020-04-09,93.5091735723729,0,200,4000,2022-06-28
2020-04-10,87.0602650501403,0,200,4000,2022-06-28
2020-04-11,83.835810789024,0,200,4000,2022-06-28
2020-04-12,77.3869022667913,0,200,4000,2022-06-28
2020-04-13,61.2646309612098,0,200,4000,2022-06-28
2020-04-14,54.8157224389772,0,200,4000,2022-06-28
2020-04-15,41.917905394512,0,200,4000,2022-06-28
2020-04-16,54.8157224389772,0,200,4000,2022-06-28
2020-04-17,51.5912681778609,0,200,4000,2022-06-28
2020-04-18,51.5912681778609,0,200,4000,2022-06-28
2020-04-19,54.8157224389772,0,200,4000,2022-06-28
2020-04-20,45.1423596556283,0,200,4000,2022-06-28
2020-04-21,45.1423596556283,0,200,4000,2022-06-28
2020-04-22,45.1423596556283,0,200,4000,2022-06-28
2020-04-23,54.8157224389772,0,200,4000,2022-06-28
2020-04-24,38.6934511333957,0,200,4000,2022-06-28
2020-04-25,48.3668139167446,0,200,4000,2022-06-28
2020-04-26,45.1423596556283,0,200,4000,2022-06-28
2020-04-27,93.5091735723729,0,200,4000,2022-06-28
2020-04-28,103.182536355722,0,200,4000,2022-06-28
2020-04-29,122.52926192242,0,200,4000,2022-06-28
2020-04-30,109.631444877954,0,200,4000,2022-06-28
2020-05-01,125.753716183536,0,200,4000,2022-06-28
2020-05-02,138.651533228001,0,200,4000,2022-06-28
2020-05-03,135.427078966885,0,200,4000,2022-06-28
2020-05-04,103.182536355722,0,200,4000,2022-06-28
2020-05-05,106.406990616838,0,200,4000,2022-06-28
2020-05-06,83.835810789024,0,200,4000,2022-06-28
2020-05-07,74.162448005675,0,200,4000,2022-06-28
2020-05-08,77.3869022667913,0,200,4000,2022-06-28
2020-05-09,61.2646309612098,0,200,4000,2022-06-28
2020-05-10,74.162448005675,0,200,4000,2022-06-28
2020-05-11,64.4890852223261,0,200,4000,2022-06-28
2020-05-12,61.2646309612098,0,200,4000,2022-06-28
2020-05-13,64.4890852223261,0,200,4000,2022-06-28
2020-05-14,77.3869022667913,0,200,4000,2022-06-28
2020-05-15,70.9379937445587,0,200,4000,2022-06-28
2020-05-16,61.2646309612098,0,200,4000,2022-06-28
2020-05-17,58.0401767000935,0,200,4000,2022-06-28
2020-05-18,70.9379937445587,0,200,4000,2022-06-28
2020-05-19,67.7135394834424,0,200,4000,2022-06-28
2020-05-20,67.7135394834424,0,200,4000,2022-06-28
2020-05-21,58.0401767000935,0,200,4000,2022-06-28
2020-05-22,54.8157224389772,0,200,4000,2022-06-28
2020-05-23,64.4890852223261,0,200,4000,2022-06-28
2020-05-24,61.2646309612098,0,200,4000,2022-06-28
2020-05-25,61.2646309612098,0,200,4000,2022-06-28
2020-05-26,64.4890852223261,0,200,4000,2022-06-28
2020-05-27,67.7135394834424,0,200,4000,2022-06-28
2020-05-28,67.7135394834424,0,200,4000,2022-06-28
2020-05-29,77.3869022667913,0,200,4000,2022-06-28
2020-05-30,77.3869022667913,0,200,4000,2022-06-28
2020-05-31,83.835810789024,0,200,4000,2022-06-28
2020-06-01,67.7135394834424,0,200,4000,2022-06-28
2020-06-02,70.9379937445587,0,200,4000,2022-06-28
2020-06-03,77.3869022667913,0,200,4000,2022-06-28
2020-06-04,70.9379937445587,0,200,4000,2022-06-28
2020-06-05,58.0401767000935,0,200,4000,2022-06-28
2020-06-06,61.2646309612098,0,200,4000,2022-06-28
2020-06-07,48.3668139167446,0,200,4000,2022-06-28
2020-06-08,54.8157224389772,0,200,4000,2022-06-28
2020-06-09,48.3668139167446,0,200,4000,2022-06-28
2020-06-10,38.6934511333957,0,200,4000,2022-06-28
2020-06-11,41.917905394512,0,200,4000,2022-06-28
2020-06-12,41.917905394512,0,200,4000,2022-06-28
2020-06-13,29.0200883500468,0,200,4000,2022-06-28
2020-06-14,32.2445426111631,0,200,4000,2022-06-28
2020-06-15,29.0200883500468,0,200,4000,2022-06-28
2020-06-16,32.2445426111631,0,200,4000,2022-06-28
2020-06-17,29.0200883500468,0,200,4000,2022-06-28
2020-06-18,25.7956340889304,0,200,4000,2022-06-28
2020-06-19,22.5711798278141,0,200,4000,2022-06-28
2020-06-20,22.5711798278141,0,200,4000,2022-06-28
2020-06-21,19.3467255666978,0,200,4000,2022-06-28
2020-06-22,16.1222713055815,0,200,4000,2022-06-28
2020-06-23,6.44890852223261,0,200,4000,2022-06-28
2020-06-24,9.67336278334892,0,200,4000,2022-06-28
2020-06-25,16.1222713055815,0,200,4000,2022-06-28
2020-06-26,12.8978170444652,0,200,4000,2022-06-28
2020-06-27,19.3467255666978,0,200,4000,2022-06-28
2020-06-28,19.3467255666978,0,200,4000,2022-06-28
2020-06-29,19.3467255666978,0,200,4000,2022-06-28
2020-06-30,32.2445426111631,0,200,4000,2022-06-28
2020-07-01,51.5912681778609,0,200,4000,2022-06-28
2020-07-02,48.3668139167446,0,200,4000,2022-06-28
2020-07-03,51.5912681778609,0,200,4000,2022-06-28
2020-07-04,51.5912681778609,0,200,4000,2022-06-28
2020-07-05,51.5912681778609,0,200,4000,2022-06-28
2020-07-06,51.5912681778609,0,200,4000,2022-06-28
2020-07-07,45.1423596556283,0,200,4000,2022-06-28
2020-07-08,41.917905394512,0,200,4000,2022-06-28
2020-07-09,48.3668139167446,0,200,4000,2022-06-28
2020-07-10,51.5912681778609,0,200,4000,2022-06-28
2020-07-11,45.1423596556283,0,200,4000,2022-06-28
2020-07-12,45.1423596556283,0,200,4000,2022-06-28
2020-07-13,48.3668139167446,0,200,4000,2022-06-28
2020-07-14,45.1423596556283,0,200,4000,2022-06-28
2020-07-15,25.7956340889304,0,200,4000,2022-06-28
2020-07-16,22.5711798278141,0,200,4000,2022-06-28
2020-07-17,19.3467255666978,0,200,4000,2022-06-28
2020-07-18,19.3467255666978,0,200,4000,2022-06-28
2020-07-19,19.3467255666978,0,200,4000,2022-06-28
2020-07-20,19.3467255666978,0,200,4000,2022-06-28
2020-07-21,22.5711798278141,0,200,4000,2022-06-28
2020-07-22,25.7956340889304,0,200,4000,2022-06-28
2020-07-23,29.0200883500468,0,200,4000,2022-06-28
2020-07-24,38.6934511333957,0,200,4000,2022-06-28
2020-07-25,41.917905394512,0,200,4000,2022-06-28
2020-07-26,45.1423596556283,0,200,4000,2022-06-28
2020-07-27,48.3668139167446,0,200,4000,2022-06-28
2020-07-28,54.8157224389772,0,200,4000,2022-06-28
2020-07-29,67.7135394834424,0,200,4000,2022-06-28
2020-07-30,61.2646309612098,0,200,4000,2022-06-28
2020-07-31,51.5912681778609,0,200,4000,2022-06-28
2020-08-01,48.3668139167446,0,200,4000,2022-06-28
2020-08-02,45.1423596556283,0,200,4000,2022-06-28
2020-08-03,45.1423596556283,0,200,4000,2022-06-28
2020-08-04,38.6934511333957,0,200,4000,2022-06-28
2020-08-05,22.5711798278141,0,200,4000,2022-06-28
2020-08-06,19.3467255666978,0,200,4000,2022-06-28
2020-08-07,19.3467255666978,0,200,4000,2022-06-28
2020-08-08,19.3467255666978,0,200,4000,2022-06-28
2020-08-09,22.5711798278141,0,200,4000,2022-06-28
2020-08-10,12.8978170444652,0,200,4000,2022-06-28
2020-08-11,9.67336278334892,0,200,4000,2022-06-28
2020-08-12,9.67336278334892,0,200,4000,2022-06-28
2020-08-13,25.7956340889304,0,200,4000,2022-06-28
2020-08-14,25.7956340889304,0,200,4000,2022-06-28
2020-08-15,25.7956340889304,0,200,4000,2022-06-28
2020-08-16,22.5711798278141,0,200,4000,2022-06-28
2020-08-17,32.2445426111631,0,200,4000,2022-06-28
2020-08-18,35.4689968722794,0,200,4000,2022-06-28
2020-08-19,35.4689968722794,0,200,4000,2022-06-28
2020-08-20,29.0200883500468,0,200,4000,2022-06-28
2020-08-21,29.0200883500468,0,200,4000,2022-06-28
2020-08-22,35.4689968722794,0,200,4000,2022-06-28
2020-08-23,45.1423596556283,0,200,4000,2022-06-28
2020-08-24,41.917905394512,0,200,4000,2022-06-28
2020-08-25,35.4689968722794,0,200,4000,2022-06-28
