"Fecha","hospitalizaciones de COVID-19 de residentes del Condado de Summit en Colorado","Nivel Verde: Bajo","Nivel Amarillo: Medio","Nivel Anaranjado: Alto"
2020-03-11,3.2,10,15,50
2020-03-12,3.2,10,15,50
2020-03-13,6.4,10,15,50
2020-03-14,6.4,10,15,50
2020-03-15,6.4,10,15,50
2020-03-16,6.4,10,15,50
2020-03-17,9.7,10,15,50
2020-03-18,6.4,10,15,50
2020-03-19,6.4,10,15,50
2020-03-20,3.2,10,15,50
2020-03-21,3.2,10,15,50
2020-03-22,3.2,10,15,50
2020-03-23,6.4,10,15,50
2020-03-24,3.2,10,15,50
2020-03-25,3.2,10,15,50
2020-03-26,9.7,10,15,50
2020-03-27,16,10,15,50
2020-03-28,23,10,15,50
2020-03-29,26,10,15,50
2020-03-30,29,10,15,50
2020-03-31,29,10,15,50
2020-04-01,32,10,15,50
2020-04-02,26,10,15,50
2020-04-03,23,10,15,50
2020-04-04,19,10,15,50
2020-04-05,23,10,15,50
2020-04-06,16,10,15,50
2020-04-07,16,10,15,50
2020-04-08,13,10,15,50
2020-04-09,13,10,15,50
2020-04-10,9.7,10,15,50
2020-04-11,9.7,10,15,50
2020-04-12,3.2,10,15,50
2020-04-13,6.4,10,15,50
2020-04-14,6.4,10,15,50
2020-04-15,9.7,10,15,50
2020-04-16,19,10,15,50
2020-04-17,19,10,15,50
2020-04-18,16,10,15,50
2020-04-19,16,10,15,50
2020-04-20,13,10,15,50
2020-04-21,16,10,15,50
2020-04-22,13,10,15,50
2020-04-23,3.2,10,15,50
2020-04-24,6.4,10,15,50
2020-04-25,9.7,10,15,50
2020-04-26,9.7,10,15,50
2020-04-27,9.7,10,15,50
2020-04-28,6.4,10,15,50
2020-04-29,6.4,10,15,50
2020-04-30,6.4,10,15,50
2020-05-01,3.2,10,15,50
2020-05-02,0,10,15,50
2020-05-03,3.2,10,15,50
2020-05-04,3.2,10,15,50
2020-05-05,3.2,10,15,50
2020-05-06,3.2,10,15,50
2020-05-07,6.4,10,15,50
2020-05-08,6.4,10,15,50
2020-05-09,6.4,10,15,50
2020-05-10,6.4,10,15,50
2020-05-11,9.7,10,15,50
2020-05-12,9.7,10,15,50
2020-05-13,9.7,10,15,50
2020-05-14,6.4,10,15,50
2020-05-15,6.4,10,15,50
2020-05-16,9.7,10,15,50
2020-05-17,13,10,15,50
2020-05-18,13,10,15,50
2020-05-19,13,10,15,50
2020-05-20,16,10,15,50
2020-05-21,19,10,15,50
2020-05-22,32,10,15,50
2020-05-23,35,10,15,50
2020-05-24,29,10,15,50
2020-05-25,26,10,15,50
2020-05-26,26,10,15,50
2020-05-27,23,10,15,50
2020-05-28,19,10,15,50
2020-05-29,6.4,10,15,50
2020-05-30,0,10,15,50
2020-05-31,0,10,15,50
2020-06-01,0,10,15,50
2020-06-02,0,10,15,50
2020-06-03,0,10,15,50
2020-06-04,0,10,15,50
2020-06-05,0,10,15,50
2020-06-06,0,10,15,50
2020-06-07,0,10,15,50
2020-06-08,3.2,10,15,50
2020-06-09,3.2,10,15,50
2020-06-10,3.2,10,15,50
2020-06-11,3.2,10,15,50
2020-06-12,3.2,10,15,50
2020-06-13,3.2,10,15,50
2020-06-14,3.2,10,15,50
2020-06-15,0,10,15,50
2020-06-16,0,10,15,50
2020-06-17,0,10,15,50
2020-06-18,3.2,10,15,50
2020-06-19,3.2,10,15,50
2020-06-20,3.2,10,15,50
2020-06-21,3.2,10,15,50
2020-06-22,3.2,10,15,50
2020-06-23,3.2,10,15,50
2020-06-24,3.2,10,15,50
2020-06-25,0,10,15,50
2020-06-26,0,10,15,50
2020-06-27,0,10,15,50
2020-06-28,0,10,15,50
2020-06-29,0,10,15,50
2020-06-30,0,10,15,50
2020-07-01,0,10,15,50
2020-07-02,3.2,10,15,50
2020-07-03,3.2,10,15,50
2020-07-04,3.2,10,15,50
2020-07-05,3.2,10,15,50
2020-07-06,3.2,10,15,50
2020-07-07,3.2,10,15,50
2020-07-08,3.2,10,15,50
2020-07-09,0,10,15,50
2020-07-10,0,10,15,50
2020-07-11,0,10,15,50
2020-07-12,0,10,15,50
2020-07-13,0,10,15,50
2020-07-14,0,10,15,50
2020-07-15,0,10,15,50
2020-07-16,0,10,15,50
2020-07-17,0,10,15,50
2020-07-18,0,10,15,50
2020-07-19,0,10,15,50
2020-07-20,0,10,15,50
2020-07-21,0,10,15,50
2020-07-22,0,10,15,50
2020-07-23,0,10,15,50
2020-07-24,0,10,15,50
2020-07-25,3.2,10,15,50
2020-07-26,3.2,10,15,50
2020-07-27,3.2,10,15,50
2020-07-28,3.2,10,15,50
2020-07-29,3.2,10,15,50
2020-07-30,3.2,10,15,50
2020-07-31,3.2,10,15,50
2020-08-01,0,10,15,50
2020-08-02,0,10,15,50
2020-08-03,0,10,15,50
2020-08-04,0,10,15,50
2020-08-05,0,10,15,50
2020-08-06,0,10,15,50
2020-08-07,0,10,15,50
2020-08-08,0,10,15,50
2020-08-09,0,10,15,50
2020-08-10,0,10,15,50
2020-08-11,0,10,15,50
2020-08-12,0,10,15,50
2020-08-13,0,10,15,50
2020-08-14,0,10,15,50
2020-08-15,0,10,15,50
2020-08-16,0,10,15,50
2020-08-17,0,10,15,50
2020-08-18,0,10,15,50
2020-08-19,0,10,15,50
2020-08-20,0,10,15,50
2020-08-21,0,10,15,50
2020-08-22,0,10,15,50
2020-08-23,0,10,15,50
2020-08-24,0,10,15,50
2020-08-25,0,10,15,50
2020-08-26,0,10,15,50
2020-08-27,0,10,15,50
2020-08-28,0,10,15,50
2020-08-29,0,10,15,50
2020-08-30,0,10,15,50
2020-08-31,0,10,15,50
2020-09-01,0,10,15,50
2020-09-02,0,10,15,50
2020-09-03,0,10,15,50
2020-09-04,0,10,15,50
2020-09-05,0,10,15,50
2020-09-06,0,10,15,50
2020-09-07,0,10,15,50
2020-09-08,0,10,15,50
2020-09-09,0,10,15,50
2020-09-10,0,10,15,50
2020-09-11,0,10,15,50
2020-09-12,0,10,15,50
2020-09-13,0,10,15,50
2020-09-14,0,10,15,50
2020-09-15,0,10,15,50
2020-09-16,0,10,15,50
2020-09-17,3.2,10,15,50
2020-09-18,6.4,10,15,50
2020-09-19,6.4,10,15,50
2020-09-20,6.4,10,15,50
2020-09-21,6.4,10,15,50
2020-09-22,6.4,10,15,50
2020-09-23,9.7,10,15,50
2020-09-24,6.4,10,15,50
2020-09-25,3.2,10,15,50
2020-09-26,3.2,10,15,50
2020-09-27,3.2,10,15,50
2020-09-28,3.2,10,15,50
2020-09-29,3.2,10,15,50
2020-09-30,0,10,15,50
2020-10-01,0,10,15,50
2020-10-02,0,10,15,50
2020-10-03,0,10,15,50
2020-10-04,0,10,15,50
2020-10-05,0,10,15,50
2020-10-06,0,10,15,50
2020-10-07,0,10,15,50
2020-10-08,0,10,15,50
2020-10-09,0,10,15,50
2020-10-10,0,10,15,50
2020-10-11,0,10,15,50
2020-10-12,0,10,15,50
2020-10-13,0,10,15,50
2020-10-14,0,10,15,50
2020-10-15,0,10,15,50
2020-10-16,0,10,15,50
2020-10-17,0,10,15,50
2020-10-18,0,10,15,50
2020-10-19,0,10,15,50
2020-10-20,0,10,15,50
2020-10-21,0,10,15,50
2020-10-22,0,10,15,50
2020-10-23,0,10,15,50
2020-10-24,3.2,10,15,50
2020-10-25,3.2,10,15,50
2020-10-26,3.2,10,15,50
2020-10-27,3.2,10,15,50
2020-10-28,3.2,10,15,50
2020-10-29,3.2,10,15,50
2020-10-30,3.2,10,15,50
2020-10-31,0,10,15,50
2020-11-01,3.2,10,15,50
2020-11-02,3.2,10,15,50
2020-11-03,3.2,10,15,50
2020-11-04,3.2,10,15,50
2020-11-05,9.7,10,15,50
2020-11-06,9.7,10,15,50
2020-11-07,9.7,10,15,50
2020-11-08,6.4,10,15,50
