"Date","Rolling 7-Day Positive Cases per 100,000","Level Green: Low","Level Orange: High","date_uploaded"
2023-08-01,9.6602801481243,200,400,2023-08-02
2023-07-31,9.6602801481243,200,400,2023-08-02
2023-07-30,9.6602801481243,200,400,2023-08-02
2023-07-29,6.4401867654162,200,400,2023-08-02
2023-07-28,6.4401867654162,200,400,2023-08-02
2023-07-27,6.4401867654162,200,400,2023-08-02
2023-07-26,0,200,400,2023-08-02
2023-07-25,0,200,400,2023-08-02
2023-07-24,3.2200933827081,200,400,2023-08-02
2023-07-23,3.2200933827081,200,400,2023-08-02
2023-07-22,3.2200933827081,200,400,2023-08-02
2023-07-21,3.2200933827081,200,400,2023-08-02
2023-07-20,3.2200933827081,200,400,2023-08-02
2023-07-19,3.2200933827081,200,400,2023-08-02
2023-07-18,6.4401867654162,200,400,2023-08-02
2023-07-17,6.4401867654162,200,400,2023-08-02
2023-07-16,6.4401867654162,200,400,2023-08-02
2023-07-15,6.4401867654162,200,400,2023-08-02
2023-07-14,6.4401867654162,200,400,2023-08-02
2023-07-13,6.4401867654162,200,400,2023-08-02
2023-07-12,6.4401867654162,200,400,2023-08-02
2023-07-11,3.2200933827081,200,400,2023-08-02
2023-07-10,0,200,400,2023-08-02
2023-07-09,0,200,400,2023-08-02
2023-07-08,0,200,400,2023-08-02
2023-07-07,0,200,400,2023-08-02
2023-07-06,0,200,400,2023-08-02
2023-07-05,0,200,400,2023-08-02
